name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2015-10-18,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-10-25,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-11-01,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-11-08,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-11-15,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-11-22,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-11-29,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-12-06,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-12-13,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-12-20,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2015-12-27,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-01-03,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-01-10,7,220000.0,0.02040816326530612,0.4666666666666667,0.4870748299319728
Christian Fassnacht,2016-01-17,7,220000.0,0.02040816326530612,0.4666666666666667,0.4870748299319728
Christian Fassnacht,2016-01-24,7,220000.0,0.02040816326530612,0.4666666666666667,0.4870748299319728
Christian Fassnacht,2016-01-31,7,220000.0,0.02040816326530612,0.4666666666666667,0.4870748299319728
Christian Fassnacht,2016-02-07,7,220000.0,0.02040816326530612,0.4666666666666667,0.4870748299319728
Christian Fassnacht,2016-02-14,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-02-21,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-02-28,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-03-06,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-03-13,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-03-20,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-03-27,0,220000.0,0.02040816326530612,0.0,0.02040816326530612
Christian Fassnacht,2016-04-03,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-04-10,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-04-17,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-04-24,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-05-01,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-05-08,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-05-15,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-05-22,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-05-29,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-06-05,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-06-12,1,440000.0,0.061224489795918366,0.06666666666666667,0.12789115646258503
Christian Fassnacht,2016-06-19,1,440000.0,0.061224489795918366,0.06666666666666667,0.12789115646258503
Christian Fassnacht,2016-06-26,1,440000.0,0.061224489795918366,0.06666666666666667,0.12789115646258503
Christian Fassnacht,2016-07-03,4,440000.0,0.061224489795918366,0.26666666666666666,0.32789115646258504
Christian Fassnacht,2016-07-10,4,440000.0,0.061224489795918366,0.26666666666666666,0.32789115646258504
Christian Fassnacht,2016-07-17,4,440000.0,0.061224489795918366,0.26666666666666666,0.32789115646258504
Christian Fassnacht,2016-07-24,4,440000.0,0.061224489795918366,0.26666666666666666,0.32789115646258504
Christian Fassnacht,2016-07-31,3,440000.0,0.061224489795918366,0.2,0.2612244897959184
Christian Fassnacht,2016-08-07,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-08-14,2,440000.0,0.061224489795918366,0.13333333333333333,0.19455782312925168
Christian Fassnacht,2016-08-21,2,440000.0,0.061224489795918366,0.13333333333333333,0.19455782312925168
Christian Fassnacht,2016-08-28,2,440000.0,0.061224489795918366,0.13333333333333333,0.19455782312925168
Christian Fassnacht,2016-09-04,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-09-11,0,440000.0,0.061224489795918366,0.0,0.061224489795918366
Christian Fassnacht,2016-09-18,8,440000.0,0.061224489795918366,0.5333333333333333,0.5945578231292517
Christian Fassnacht,2016-09-25,3,440000.0,0.061224489795918366,0.2,0.2612244897959184
Christian Fassnacht,2016-10-02,7,440000.0,0.061224489795918366,0.4666666666666667,0.527891156462585
Christian Fassnacht,2016-10-09,7,660000.0,0.10204081632653061,0.4666666666666667,0.5687074829931973
Christian Fassnacht,2016-10-16,4,660000.0,0.10204081632653061,0.26666666666666666,0.3687074829931973
Christian Fassnacht,2016-10-23,1,660000.0,0.10204081632653061,0.06666666666666667,0.16870748299319727
Christian Fassnacht,2016-10-30,1,660000.0,0.10204081632653061,0.06666666666666667,0.16870748299319727
Christian Fassnacht,2016-11-06,5,660000.0,0.10204081632653061,0.3333333333333333,0.43537414965986393
Christian Fassnacht,2016-11-13,5,660000.0,0.10204081632653061,0.3333333333333333,0.43537414965986393
Christian Fassnacht,2016-11-20,8,660000.0,0.10204081632653061,0.5333333333333333,0.6353741496598639
Christian Fassnacht,2016-11-27,5,660000.0,0.10204081632653061,0.3333333333333333,0.43537414965986393
Christian Fassnacht,2016-12-04,0,660000.0,0.10204081632653061,0.0,0.10204081632653061
Christian Fassnacht,2016-12-11,0,660000.0,0.10204081632653061,0.0,0.10204081632653061
